texto_limpo,label
amapá recebe mil ampliar atendimentos saúde mental sus,1.0
dia jejum evangélicos fazem oração bolsonaro alvorada,1.0
festival sundance menos dias menos filmes menos gente,1.0
ministro saúde nelson teich nega convite diz coerente aceitar conselheiro pasta,1.0
anistia aponta marcado retrocessos direitos humanos brasil,1.0
justiça tranca investigação felipe neto chamar bolsonaro genocida,1.0
mwm honda oréal fecham fábricas argentina vão investir brasil boato,0.0
fake filha che guevara comandou médicos,0.0
fake termo black friday surgiu alusão liquidação escravos,0.0
coronavírus sabe sobre efeitos tipos sanguíneos casos graves covid,1.0
vídeo veículos militares tombados retirado contexto desqualificar desfile marinha brasília,0.0
prefeitura rio vacina pessoas anos próxima semana,1.0
fake deputada flordelis votou manutenção prisão daniel silveira,0.0
presidente insper governo preocupado salvar acionistas crise,1.0
ramagem diz sindicância abin conclui confecção relatório falso sobre flávio bolsonaro,1.0
tcu vai apurar governo federal omisso apagão amapá,1.0
governadores consultam china pedem material tratar covid,1.0
edir macedo sofrer acidentar caminhar inauguração templo juquitiba,0.0
orçamento põe bolsonaro sob risco perder base congresso guedes,1.0
sacar fgts perde direito sacar caso demissão boato,0.0
obama diz trump ameaça democracia falhas mataram mil eua,1.0
fake bilionário sido flagrado foto urinando morador rua,0.0
instituto rio branco mudou nome instituto che guevara virou esquerdista boato,0.0
fake vídeo mostra água torneira teste rápido covid revele ineficácia dispositivo,0.0
cidade prefeito coronavírus espera horas upa,1.0
europa ultrapassa marca mil mortos covid aponta universidade,1.0
joice hasselmann feriu acidente após dirigir bêbada balada,0.0
saúde autoriza leitos uti covid paulo,1.0
bolsonaro participa nesta quinta cúpula mercosul reunião vídeo primeira vez,1.0
vídeo viralizado omite tema abordado lula criação frente ampla,0.0
vídeo deturpa dados sobre atuação governo preservação amazônia,0.0
coronavírus brasil mortes confirmadas passa mil casos,1.0
animais morreram excesso desinfetantes contra covid china,1.0
daniel azulay morre anos artista tratava câncer contraiu covid,1.0
descobre sara winter feminista petista disfarçada ativista pró bolsonaro boato,0.0
ministério saúde diz ter proposto confisco requerimento vacinas adquiridas estados,1.0
covid periferia expõe faceta desigualdade dizem médicos,1.0
meio ambiente bolsonaro diz brasil orgulho preservar amazônia,1.0
mec esclarece congresso quais ações tomadas educação durante pandemia,1.0
elogiar empresa chinesa mourão atacado bolsonaristas,1.0
conselho tutelar pede pais parem deixar filhos conhecidos lista dicas segurança boato,0.0
saiba definir página inicial navegador,1.0
meio pandemia academias militares mantêm alunos internados,1.0
exame brasileiro vindo itália atesta positivo coronavírus,1.0
polícia federal diz poderá identificar origem fake news eleições,1.0
presidente cpi covid omar aziz diz comissão dará pizza,1.0
sadio mané diz quer ferraris aviões doa euros mês pessoas senegal boato,0.0
cerimônia posse bolsonaro custar dobrar anterior,0.0
fake padre fábio melo fez texto sobre massacre suzano dizendo armas matam,0.0
menina hindu queimada madhya pradesh ter ido culto cristão boato,0.0
covid texto engana ignorar ineficiência ações apoiadas bolsonaro,0.0
fake milhões fizeram inscrição receber auxílio emergencial governo federal,0.0
foto hitler segurar umar bíblia verdadeiro falso,0.0
toque recolher melhor ação rápida tratamento longo diz rui costa,1.0
revisão estudo publicado site garante eficácia hidroxicloroquina tratamento preventivo contra covid,0.0
cpi covid senado investigará união repasses estados municípios,1.0
vacinados têm três vezes chances morrer variante delta covid boato,0.0
casos coronavírus paraíba julho,1.0
primeira turma stf condena deputado éder mauro pagar salários mínimos jean wyllys difamação,1.0
emendas cargos ministérios promessas candidatos presidência câmara,1.0
médico goiás admite matando pacientes esquerdistas boato,0.0
quintero river plate diz conhecia flamengo grêmio tradição boato,0.0
holanda sacrificará mil galinhas após casos gripe aviária,1.0
brasil vota contra resolução oms pede garantia saúde palestinos,1.0
nanochip passa agulha seringa carrega vírus dizem especialistas,0.0
apoiadores bolsonaro fizeram ato contra alexandre moraes transferidos presídio,1.0
ivermectina mata covid dois dias dose única boato,0.0
